source,target,weight
46,92,0.527025686983034
46,94,0.6487189473016947
46,103,0.5986389234536721
46,108,0.6173617903714027
46,111,0.6412752354005858
46,147,0.6477413236549242
46,158,0.6026911259938822
46,179,0.5564028893674908
46,207,0.5321033246263965
46,211,0.6407969118088926
46,235,0.526825013432579
47,12,0.5609433514119206
47,25,0.46404560634523895
47,46,0.5552295249563498
47,58,0.5754739843589576
47,62,0.2991965753267988
47,65,0.5536277840882956
47,95,0.5536803644488048
47,101,0.44394855901996744
47,108,0.55595240521654
47,158,0.5591387972305237
47,162,0.5569243845404842
47,168,0.552012777625966
47,177,0.4052008924689737
47,180,0.5509883515414519
47,200,0.5389638194416365
47,251,0.49939007522375295
48,27,0.534151502430047
48,32,0.5256055026607022
48,42,0.5352293642425898
48,46,0.5357224371629586
48,74,0.4440966651270275
48,95,0.528332523798735
48,103,0.5422163153408477
48,160,0.5398286627228803
48,173,0.5341768925774852
48,190,0.5627187634703322
48,204,0.5336090965659956
48,227,0.48553015165982605
48,233,0.48077535475423977
48,239,0.422033791706429
49,13,0.6363872457524047
49,33,0.659695830351039
49,54,0.6602822758765405
49,58,0.5801153009821726
49,69,0.510831678891916
49,94,0.6522607701782736
49,108,0.5995612183799887
49,111,0.6618775896409431
49,150,0.6575003246434489
49,151,0.6627818441583946
49,152,0.6711674173295534
49,162,0.6236757954273566
49,164,0.6296444334354497
49,191,0.5397089071202139
49,211,0.6602721642935836
49,231,0.6235766870289098
49,250,0.654044147845653
49,253,0.6739539511328352
49,294,0.5548683438647475
50,12,0.6431307887599648
50,13,0.6325800445429313
50,27,0.6704326492680776
50,33,0.7003931511816829
50,40,0.6905782554314083
50,46,0.6691673115036834
50,51,0.6370036093048335
50,54,0.7063443837554
50,59,0.5909999707505371
50,63,0.6936876947213194
50,65,0.6059915051034335
50,71,0.5836624215353342
50,95,0.6068773117231202
50,111,0.6879741186150141
50,147,0.7130703204147049
50,151,0.7002819439803714
50,152,0.691521787821727
50,162,0.6137267032964207
50,164,0.6090873628516917
50,168,0.6524056958254083
50,199,0.7048434700089223
50,204,0.66672873203177
50,211,0.7054591095667905
50,218,0.6683075284072296
50,220,0.6254405592521942
50,221,0.6378029115475383
50,253,0.7122783974876068
51,14,0.641438056912161
51,33,0.634168504277188
51,37,0.655436897674875
51,50,0.6370036093048335
51,54,0.6470835086320056
51,70,0.5435867545189992
51,87,0.3590233446775328
51,111,0.6756785982371676
51,147,0.6575001608406253
51,152,0.6325497384632264
51,187,0.4351157230566495
51,211,0.6349945359035032
51,253,0.6653012021951192
52,19,0.6317168680167142
52,33,0.6164900033869996
52,36,0.6181658127659855
